Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Afghanistan,AFG,177.7,128.7,83.9,80.3,76.8,73.6,70.4,67.6,64.9,62.5,60.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Albania,ALB,41,27.2,12.1,11.2,10.4,9.9,9.6,9.4,9.4,9.5,9.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Algeria,DZA,49.5,39.7,26.7,26.2,25.8,25.5,25.2,24.8,24.3,23.8,23.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Andorra,AND,13,7.7,4.4,4.1,3.9,3.7,3.5,3.4,3.2,3.1,3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Angola,AGO,222.2,203.9,112.3,105,98.6,93,88.2,84.2,80.6,77.7,74.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Antigua and Barbuda,ATG,14,15.5,9.5,9,8.5,8.1,7.8,7.4,7.1,6.9,6.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Argentina,ARG,28.6,19.6,13.9,13.3,12.7,12.1,11.5,10.9,10.3,9.8,9.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Armenia,ARM,48.9,30.7,17.6,16.7,15.9,15.1,14.4,13.7,13,12.4,11.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Australia,AUS,9.2,6.2,4.5,4.3,4.1,4,3.9,3.8,3.7,3.7,3.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Austria,AUT,9.5,5.5,4.2,4.1,3.9,3.8,3.7,3.6,3.6,3.5,3.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Azerbaijan,AZE,95.2,74.6,35,32.6,30.4,28.3,26.3,24.6,23,21.6,20.4,..
