ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
AFG,Afghanistan,total,Drinking water,2020,48.44189,18857623.27,On premises
AGO,Angola,total,Drinking water,2020,30.92751,10164719.25,Available
ALB,Albania,total,Drinking water,2020,70.67454,2033871.837,Available
AND,Andorra,total,Drinking water,2020,100,77265.00286,Available
ARE,United Arab Emirates,total,Drinking water,2020,99.9656,9886997.307,Available
ARM,Armenia,total,Drinking water,2020,91.51457,2711790.945,Available
ASM,American Samoa,total,Drinking water,2020,98.53491,54388.31402,On premises
AUS,Australia,total,Drinking water,2020,95.87438,24447852.33,Available
AUT,Austria,total,Drinking water,2020,98.90064,8907387.421,Available
AZE,Azerbaijan,total,Drinking water,2020,90.43765,9169631.772,On premises
BDI,Burundi,total,Drinking water,2020,10.62178,1263012.912,On premises
BEL,Belgium,total,Drinking water,2020,100,11589615.59,On premises
BEN,Benin,total,Drinking water,2020,57.60879,6984028.164,Available
BFA,Burkina Faso,total,Drinking water,2020,55.52282,11606088.62,Available
BGD,Bangladesh,total,Drinking water,2020,95.94245,158007040.6,Available
BGR,Bulgaria,total,Drinking water,2020,97.61734,6782886.916,Available
BHR,Bahrain,total,Drinking water,2020,99.94452,1700638.909,Available
BIH,Bosnia and Herzegovina,total,Drinking water,2020,88.86918,2915633.406,Available
BLM,Saint Barthélemy,total,Drinking water,2020,100,0,On premises
BLR,Belarus,total,Drinking water,2020,94.61115,8940110.952,On premises
BLZ,Belize,total,Drinking water,2020,96.97163,385579.5764,On premises
BMU,Bermuda,total,Drinking water,2020,99.85651,62183.64594,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2020,85.98183,10036684.34,On premises
BRA,Brazil,total,Drinking water,2020,90.67823,192745116.2,Available
BRB,Barbados,total,Drinking water,2020,88.90385,255483.871,Available
BTN,Bhutan,total,Drinking water,2020,87.29639,673589.4459,Available
BWA,Botswana,total,Drinking water,2020,82.03232,1929092.436,On premises
CAF,Central African Republic,total,Drinking water,2020,37.55556,1813844.723,Available
CAN,Canada,total,Drinking water,2020,99.03895,37379433.98,On premises
CHE,Switzerland,total,Drinking water,2020,100,8654618.242,On premises
CHL,Chile,total,Drinking water,2020,99.42182,19005681.87,Available
CHN,China,total,Drinking water,2020,91.07852,1332606711,Available
CIV,Côte d’Ivoire,total,Drinking water,2020,56.72457,14962964.73,Available
CMR,Cameroon,total,Drinking water,2020,48.86605,12971915.12,Available
COD,Democratic Republic of the Congo,total,Drinking water,2020,43.27359,38756439.27,Available
COG,Congo,total,Drinking water,2020,53.06236,2928029.811,On premises
COK,Cook Islands,total,Drinking water,2020,87.42822,15355.89301,On premises
COL,Colombia,total,Drinking water,2020,75.73497,38536135.74,Available
CPV,Cabo Verde,total,Drinking water,2020,88.19795,490370.0294,On premises
CRI,Costa Rica,total,Drinking water,2020,80.51605,4101579.215,Available
CUB,Cuba,total,Drinking water,2020,89.91209,10183997.52,Available
CYP,Cyprus,total,Drinking water,2020,99.76517,1204525.793,On premises
CZE,Czechia,total,Drinking water,2020,97.88247,10482216.15,On premises
DEU,Germany,total,Drinking water,2020,100,83783945.93,Available
DJI,Djibouti,total,Drinking water,2020,46.39215,458355.4132,On premises
DNK,Denmark,total,Drinking water,2020,96.73072,5602839.955,On premises
DOM,Dominican Republic,total,Drinking water,2020,72.81483,7898882.322,Available
DZA,Algeria,total,Drinking water,2020,72.38146,31740024.16,Available
ECU,Ecuador,total,Drinking water,2020,91.27191,16103157.12,Available
EGY,Egypt,total,Drinking water,2020,71.50387,73173064.29,Available
ESP,Spain,total,Drinking water,2020,99.92561,46720000.34,On premises
EST,Estonia,total,Drinking water,2020,99.59078,1321110.561,Available
ETH,Ethiopia,total,Drinking water,2020,63.98093,73554771.58,Available
FIN,Finland,total,Drinking water,2020,99.63793,5520656.63,On premises
FJI,Fiji,total,Drinking water,2020,94.30107,845356.2413,Available
FLK,Falkland Islands (Malvinas),total,Drinking water,2020,92.96339,3237.91494,On premises
FRA,France,total,Drinking water,2020,100,65273511.02,On premises
FRO,Faroe Islands,total,Drinking water,2020,100,48865,On premises
GAB,Gabon,total,Drinking water,2020,70.60584,1571493.997,On premises
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2020,100,67886007.02,On premises
GEO,Georgia,total,Drinking water,2020,78.44267,3129215.328,Available
GHA,Ghana,total,Drinking water,2020,84.90719,26383166.22,Available
GIB,Gibraltar,total,Drinking water,2020,100,33691,On premises
GIN,Guinea,total,Drinking water,2020,48.21586,6332089.087,Available
GLP,Guadeloupe,total,Drinking water,2020,99.76078,399169.8306,On premises
GMB,Gambia,total,Drinking water,2020,77.55375,1874213.49,Available
GNB,Guinea-Bissau,total,Drinking water,2020,58.07005,1142817.495,Available
GRC,Greece,total,Drinking water,2020,100,10423056.24,On premises
GRL,Greenland,total,Drinking water,2020,96.7399,54921.1758,On premises
GTM,Guatemala,total,Drinking water,2020,61.65826,11046426.77,Available
GUF,French Guiana,total,Drinking water,2020,90.56377,270497.6666,On premises
GUM,Guam,total,Drinking water,2020,99.54117,168008.5788,On premises
GUY,Guyana,total,Drinking water,2020,94.4081,742575.3945,On premises
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2020,100,7496988,On premises
HND,Honduras,total,Drinking water,2020,60.46368,5988690.389,Available
HTI,Haiti,total,Drinking water,2020,63.91174,7287557.708,Available
HUN,Hungary,total,Drinking water,2020,100,9660349.756,Available
IDN,Indonesia,total,Drinking water,2020,84.90094,232224122.4,Available
IMN,Isle of Man,total,Drinking water,2020,97.20756,82657.53663,On premises
IND,India,total,Drinking water,2020,61.85649,853622222.1,Available
IRL,Ireland,total,Drinking water,2020,97.32903,4805908.916,On premises
IRN,Iran (Islamic Republic of),total,Drinking water,2020,93.98386,78939821.46,On premises
IRQ,Iraq,total,Drinking water,2020,73.543,29580835.16,Available
ISL,Iceland,total,Drinking water,2020,100,341249.9905,On premises
ISR,Israel,total,Drinking water,2020,100,8655541,On premises
ITA,Italy,total,Drinking water,2020,97.83971,59155680.04,On premises
JAM,Jamaica,total,Drinking water,2020,38.43199,1138033.01,Available
JOR,Jordan,total,Drinking water,2020,85.70051,8744143.256,Available
JPN,Japan,total,Drinking water,2020,98.56545,124662091.7,On premises
KAZ,Kazakhstan,total,Drinking water,2020,89.33465,16774105.95,On premises
KEN,Kenya,total,Drinking water,2020,62.15421,33421126.2,Available
KGZ,Kyrgyzstan,total,Drinking water,2020,82.57134,5387112.158,Available
KHM,Cambodia,total,Drinking water,2020,48.38301,8089141.2,On premises
KIR,Kiribati,total,Drinking water,2020,50.88172,60776.17345,Available
KOR,Republic of Korea,total,Drinking water,2020,99.9314,51234011.62,Available
KWT,Kuwait,total,Drinking water,2020,100,4270563,Available
LAO,Lao People's Democratic Republic,total,Drinking water,2020,85.68568,6234109.772,Available
LBN,Lebanon,total,Drinking water,2020,92.34765,6303134.948,Available
LBR,Liberia,total,Drinking water,2020,14.52647,734702.1228,On premises
LBY,Libya,total,Drinking water,2020,95.89586,6589279.958,Available
LCA,Saint Lucia,total,Drinking water,2020,72.56434,133249.1719,Available
LIE,Liechtenstein,total,Drinking water,2020,100,38137,On premises
LKA,Sri Lanka,total,Drinking water,2020,87.48313,18732980.93,Available
LSO,Lesotho,total,Drinking water,2020,69.2172,1482806.921,Available
LTU,Lithuania,total,Drinking water,2020,94.92379,2584101.793,On premises
LUX,Luxembourg,total,Drinking water,2020,99.70297,624116.6438,On premises
LVA,Latvia,total,Drinking water,2020,96.2894,1816212.63,On premises
MAC,"China, Macao Special Administrative Region",total,Drinking water,2020,100,649342,Available
MAF,Saint Martin (French Part),total,Drinking water,2020,99.99927,0,On premises
MAR,Morocco,total,Drinking water,2020,92.40627,34107670.85,Available
MCO,Monaco,total,Drinking water,2020,100,39244,On premises
MDA,Republic of Moldova,total,Drinking water,2020,88.54416,3571838.585,Available
MDG,Madagascar,total,Drinking water,2020,44.54233,12334226.69,Available
MDV,Maldives,total,Drinking water,2020,75.2073,406527.0529,Available
MEX,Mexico,total,Drinking water,2020,68.70317,88580890.24,Available
MHL,Marshall Islands,total,Drinking water,2020,83.89372,49660.05076,Available
MKD,North Macedonia,total,Drinking water,2020,80.46091,1676306.497,Available
MLI,Mali,total,Drinking water,2020,71.65868,14511481.21,Available
MLT,Malta,total,Drinking water,2020,100,441539.0018,On premises
MMR,Myanmar,total,Drinking water,2020,74.55654,40566060.44,Available
MNE,Montenegro,total,Drinking water,2020,85.0722,534306.1803,Available
