ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ABW,Aruba,total,Sanitation,2010,6.20816,6311.52654,Sewage treated
ALB,Albania,total,Sanitation,2010,3.81294,112406.6261,Faecal sludge treated
AND,Andorra,total,Sanitation,2010,0,0,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2010,0.46732,39955.94949,Faecal sludge treated
ARG,Argentina,total,Sanitation,2010,7.93965,3246979.943,Faecal sludge treated
ARM,Armenia,total,Sanitation,2010,6.85112,197128.2533,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2010,24.67278,13837.47991,Sewage treated
AUS,Australia,total,Sanitation,2010,0,0,Faecal sludge treated
AUT,Austria,total,Sanitation,2010,3.62996,305277.2432,Faecal sludge treated
AZE,Azerbaijan,total,Sanitation,2010,1.06593,96279.52394,Faecal sludge treated
BEL,Belgium,total,Sanitation,2010,6.99112,764740.238,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2010,0,0,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2010,3.30063,245071.9417,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2010,0,0,Faecal sludge treated
BIH,Bosnia and Herzegovina,total,Sanitation,2010,0.07989,2960.25253,Faecal sludge treated
BLR,Belarus,total,Sanitation,2010,3.67482,346189.6172,Faecal sludge treated
BMU,Bermuda,total,Sanitation,2010,1.5,980.82,Sewage treated
BOL,Bolivia (Plurinational State of),total,Sanitation,2010,6.38407,641509.1439,Faecal sludge treated
BRA,Brazil,total,Sanitation,2010,4.34167,8497249.125,Faecal sludge treated
BTN,Bhutan,total,Sanitation,2010,2.08997,14326.76107,Faecal sludge treated
CAF,Central African Republic,total,Sanitation,2010,0,0,Faecal sludge treated
CAN,Canada,total,Sanitation,2010,11.95966,4083932.604,Faecal sludge treated
CHE,Switzerland,total,Sanitation,2010,1.04646,81714.57888,Faecal sludge treated
CHI,Channel Islands,total,Sanitation,2010,0,0,Faecal sludge treated
CHL,Chile,total,Sanitation,2010,2.55752,436377.5594,Faecal sludge treated
CHN,China,total,Sanitation,2010,0.83047,11560111.44,Faecal sludge treated
COD,Democratic Republic of the Congo,total,Sanitation,2010,0,0,Faecal sludge treated
COL,Colombia,total,Sanitation,2010,0.82289,372132.4945,Faecal sludge treated
CRI,Costa Rica,total,Sanitation,2010,0,0,Faecal sludge treated
CUB,Cuba,total,Sanitation,2010,1.29438,145304.7789,Faecal sludge treated
CUW,Curaçao,total,Sanitation,2010,3.04539,4543.3508,Sewage treated
CYM,Cayman Islands,total,Sanitation,2010,16.2843,9228.6385,Sewage treated
CYP,Cyprus,total,Sanitation,2010,11.51991,128172.5316,Faecal sludge treated
CZE,Czechia,total,Sanitation,2010,0.21813,22983.6223,Faecal sludge treated
DEU,Germany,total,Sanitation,2010,1.1514,930645.5269,Faecal sludge treated
DJI,Djibouti,total,Sanitation,2010,0,0,Faecal sludge treated
DNK,Denmark,total,Sanitation,2010,0,0.05944,Faecal sludge treated
DZA,Algeria,total,Sanitation,2010,0.23914,86035.27146,Faecal sludge treated
ECU,Ecuador,total,Sanitation,2010,0.39722,59627.21443,Faecal sludge treated
