ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
AFG,Afghanistan,total,Drinking water,2019,46.16995,17563861.07,On premises
AGO,Angola,total,Drinking water,2019,30.85489,9819659.621,Available
ALB,Albania,total,Drinking water,2019,70.66585,2035821.764,Available
AND,Andorra,total,Drinking water,2019,100,77146.00285,Available
ARE,United Arab Emirates,total,Drinking water,2019,99.96846,9767444.669,Available
ARM,Armenia,total,Drinking water,2019,91.51275,2706698.2,Available
ASM,American Samoa,total,Drinking water,2019,98.53491,54501.62917,On premises
AUS,Australia,total,Drinking water,2019,95.87442,24163422.8,Available
AUT,Austria,total,Drinking water,2019,98.90262,8856836.418,Available
AZE,Azerbaijan,total,Drinking water,2019,89.84527,9027400.45,On premises
BDI,Burundi,total,Drinking water,2019,10.43215,1202887.245,On premises
BEL,Belgium,total,Drinking water,2019,100,11539325.97,On premises
BEN,Benin,total,Drinking water,2019,57.42918,6777304.786,Available
BFA,Burkina Faso,total,Drinking water,2019,55.21257,11219957.22,Available
BGD,Bangladesh,total,Drinking water,2019,95.81786,156227349.2,Available
BGR,Bulgaria,total,Drinking water,2019,97.5431,6828131.076,Available
BHR,Bahrain,total,Drinking water,2019,99.94452,1640253.432,Available
BHS,Bahamas,total,Drinking water,2019,97.93013,381424.1634,On premises
BIH,Bosnia and Herzegovina,total,Drinking water,2019,88.85978,2933259.666,Available
BLM,Saint Barthélemy,total,Drinking water,2019,100,0,On premises
BLR,Belarus,total,Drinking water,2019,94.58659,8940711.454,On premises
BLZ,Belize,total,Drinking water,2019,96.96797,378515.4276,On premises
BMU,Bermuda,total,Drinking water,2019,99.85651,62418.30875,On premises
BOL,Bolivia (Plurinational State of),total,Drinking water,2019,85.45183,9838156.801,On premises
BRA,Brazil,total,Drinking water,2019,90.53041,191064003.3,Available
BRB,Barbados,total,Drinking water,2019,88.90385,255172.7075,Available
BTN,Bhutan,total,Drinking water,2019,87.3065,666230.6963,Available
BWA,Botswana,total,Drinking water,2019,81.71582,1882489.732,On premises
CAF,Central African Republic,total,Drinking water,2019,37.73401,1790546.121,Available
