ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Hygiene,2020,38.11505,14837556.27,Basic service
AGO,Angola,total,Hygiene,2020,27.09419,8904850.879,Basic service
ARM,Armenia,total,Hygiene,2020,94.71515,2806631.531,Basic service
BDI,Burundi,total,Hygiene,2020,6.19518,736654.7533,Basic service
BEN,Benin,total,Hygiene,2020,12.03316,1458804.084,Basic service
BFA,Burkina Faso,total,Hygiene,2020,9.00897,1883169.869,Basic service
BGD,Bangladesh,total,Hygiene,2020,58.40395,96185117.19,Basic service
BLZ,Belize,total,Hygiene,2020,90.27548,358954.2769,Basic service
BOL,Bolivia (Plurinational State of),total,Hygiene,2020,26.93653,3144308.699,Basic service
BTN,Bhutan,total,Hygiene,2020,91.68615,707461.3191,Basic service
CAF,Central African Republic,total,Hygiene,2020,21.50713,1038743.618,Basic service
CIV,Côte d’Ivoire,total,Hygiene,2020,21.62138,5703346.118,Basic service
CMR,Cameroon,total,Hygiene,2020,36.41861,9667635.961,Basic service
COD,Democratic Republic of the Congo,total,Hygiene,2020,19.17279,17171423.17,Basic service
COL,Colombia,total,Hygiene,2020,68.02786,34614536.57,Basic service
CRI,Costa Rica,total,Hygiene,2020,85.91587,4376652.154,Basic service
CUB,Cuba,total,Hygiene,2020,92.20205,10443372.46,Basic service
DOM,Dominican Republic,total,Hygiene,2020,46.90198,5087881.549,Basic service
DZA,Algeria,total,Hygiene,2020,84.62598,37109375.87,Basic service
ECU,Ecuador,total,Hygiene,2020,87.17496,15380331.04,Basic service
EGY,Egypt,total,Hygiene,2020,89.83093,91927953.51,Basic service
ETH,Ethiopia,total,Hygiene,2020,8.17269,9395619.474,Basic service
GEO,Georgia,total,Hygiene,2020,91.69696,3657952.152,Basic service
GHA,Ghana,total,Hygiene,2020,41.54222,12908391.9,Basic service
GIN,Guinea,total,Hygiene,2020,20.47696,2689196.461,Basic service
GMB,Gambia,total,Hygiene,2020,17.83862,431099.6253,Basic service
GNB,Guinea-Bissau,total,Hygiene,2020,18.11498,356502.5407,Basic service
HTI,Haiti,total,Hygiene,2020,22.37304,2551093.661,Basic service
IDN,Indonesia,total,Hygiene,2020,94.10707,257405055.7,Basic service
