ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
ALB,Albania,total,Sanitation,2019,4.01978,115806.2404,Faecal sludge treated
AND,Andorra,total,Sanitation,2019,0,0,Faecal sludge treated
ARE,United Arab Emirates,total,Sanitation,2019,2.18188,213181.2621,Faecal sludge treated
ARM,Armenia,total,Sanitation,2019,7.55058,223325.7081,Faecal sludge treated
ASM,American Samoa,total,Sanitation,2019,22.8417,12634.20037,Sewage treated
AUS,Australia,total,Sanitation,2019,0,0,Faecal sludge treated
AUT,Austria,total,Sanitation,2019,3.54953,317864.686,Faecal sludge treated
AZE,Azerbaijan,total,Sanitation,2019,0.8581,86219.33326,Faecal sludge treated
BEL,Belgium,total,Sanitation,2019,0.77971,89973.78106,Faecal sludge treated
BGD,Bangladesh,total,Sanitation,2019,0,0,Faecal sludge treated
BGR,Bulgaria,total,Sanitation,2019,2.55672,178973.2309,Faecal sludge treated
BHR,Bahrain,total,Sanitation,2019,0,0,Faecal sludge treated
BLR,Belarus,total,Sanitation,2019,3.91427,369993.2516,Faecal sludge treated
BMU,Bermuda,total,Sanitation,2019,1.5,937.62,Sewage treated
BOL,Bolivia (Plurinational State of),total,Sanitation,2019,8.54774,984109.8983,Faecal sludge treated
BRA,Brazil,total,Sanitation,2019,4.02339,8491352.104,Faecal sludge treated
BTN,Bhutan,total,Sanitation,2019,1.50761,11504.5147,Faecal sludge treated
CAF,Central African Republic,total,Sanitation,2019,0,0,Faecal sludge treated
CAN,Canada,total,Sanitation,2019,13.81555,5168542.302,Faecal sludge treated
CHE,Switzerland,total,Sanitation,2019,0.21076,18107.55254,Faecal sludge treated
CHL,Chile,total,Sanitation,2019,2.58575,490052.3603,Faecal sludge treated
CHN,China,total,Sanitation,2019,2.34427,34169032.22,Faecal sludge treated
COD,Democratic Republic of the Congo,total,Sanitation,2019,0,0,Faecal sludge treated
COL,Colombia,total,Sanitation,2019,0.85034,428058.2214,Faecal sludge treated
CRI,Costa Rica,total,Sanitation,2019,0,0,Faecal sludge treated
CUB,Cuba,total,Sanitation,2019,0.98688,111847.5447,Faecal sludge treated
CYP,Cyprus,total,Sanitation,2019,11.15793,133736.0832,Faecal sludge treated
CZE,Czechia,total,Sanitation,2019,0,0,Faecal sludge treated
DEU,Germany,total,Sanitation,2019,1.13952,951695.7771,Faecal sludge treated
DJI,Djibouti,total,Sanitation,2019,0,0,Faecal sludge treated
DNK,Denmark,total,Sanitation,2019,0,0,Faecal sludge treated
DZA,Algeria,total,Sanitation,2019,0.14222,61231.79085,Faecal sludge treated
ECU,Ecuador,total,Sanitation,2019,0.29581,51393.82577,Faecal sludge treated
EGY,Egypt,total,Sanitation,2019,5.52224,5543668.955,Faecal sludge treated
ESP,Spain,total,Sanitation,2019,1.78124,832493.1101,Faecal sludge treated
EST,Estonia,total,Sanitation,2019,4.6698,61905.15821,Faecal sludge treated
ETH,Ethiopia,total,Sanitation,2019,0,0,Faecal sludge treated
FIN,Finland,total,Sanitation,2019,0,0,Faecal sludge treated
FRA,France,total,Sanitation,2019,0,0,Faecal sludge treated
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2019,0.51845,350108.4536,Faecal sludge treated
GEO,Georgia,total,Sanitation,2019,0,0,Faecal sludge treated
GHA,Ghana,total,Sanitation,2019,0,0,Faecal sludge treated
GMB,Gambia,total,Sanitation,2019,0,0,Faecal sludge treated
GNB,Guinea-Bissau,total,Sanitation,2019,0,0,Faecal sludge treated
GRC,Greece,total,Sanitation,2019,4.0222,421263.6013,Faecal sludge treated
GRL,Greenland,total,Sanitation,2019,0,0,Faecal sludge treated
HKG,"China, Hong Kong Special Administrative Region",total,Sanitation,2019,1.54685,115026.469,Faecal sludge treated
HND,Honduras,total,Sanitation,2019,1.91178,186324.3694,Faecal sludge treated
HRV,Croatia,total,Sanitation,2019,9.63848,398097.8712,Faecal sludge treated
HUN,Hungary,total,Sanitation,2019,3.99398,386804.107,Faecal sludge treated
IND,India,total,Sanitation,2019,0,0,Faecal sludge treated
IRL,Ireland,total,Sanitation,2019,1.38371,67559.41797,Faecal sludge treated
IRN,Iran (Islamic Republic of),total,Sanitation,2019,28.76789,23852578.02,Sewage treated
IRQ,Iraq,total,Sanitation,2019,0,0,Faecal sludge treated
ISL,Iceland,total,Sanitation,2019,0,0,Faecal sludge treated
ISR,Israel,total,Sanitation,2019,0.18711,15940.58272,Faecal sludge treated
ITA,Italy,total,Sanitation,2019,0.80425,486975.0262,Faecal sludge treated
JAM,Jamaica,total,Sanitation,2019,7.76706,228994.3117,Sewage treated
JOR,Jordan,total,Sanitation,2019,8.31886,840345.6796,Faecal sludge treated
JPN,Japan,total,Sanitation,2019,3.03261,3847174.775,Faecal sludge treated
KAZ,Kazakhstan,total,Sanitation,2019,35.54098,6593360.193,Sewage treated
KGZ,Kyrgyzstan,total,Sanitation,2019,0,0,Faecal sludge treated
KIR,Kiribati,total,Sanitation,2019,0,0,Faecal sludge treated
KOR,Republic of Korea,total,Sanitation,2019,1.45205,743819.1595,Faecal sludge treated
KWT,Kuwait,total,Sanitation,2019,0,0,Faecal sludge treated
LAO,Lao People's Democratic Republic,total,Sanitation,2019,0,0,Faecal sludge treated
LBN,Lebanon,total,Sanitation,2019,0.68963,47279.0185,Faecal sludge treated
LBY,Libya,total,Sanitation,2019,1.56307,105936.2826,Faecal sludge treated
LIE,Liechtenstein,total,Sanitation,2019,0.025,9.505,Faecal sludge treated
LSO,Lesotho,total,Sanitation,2019,0,0,Faecal sludge treated
LTU,Lithuania,total,Sanitation,2019,1.27346,35142.76263,Faecal sludge treated
LUX,Luxembourg,total,Sanitation,2019,0.41446,2551.97096,Faecal sludge treated
LVA,Latvia,total,Sanitation,2019,0,0,Faecal sludge treated
MAC,"China, Macao Special Administrative Region",total,Sanitation,2019,0,0,Faecal sludge treated
MAR,Morocco,total,Sanitation,2019,4.45788,1625866.379,Faecal sludge treated
MCO,Monaco,total,Sanitation,2019,0,0,Faecal sludge treated
MDA,Republic of Moldova,total,Sanitation,2019,27.8459,1125881.613,Sewage treated
MDG,Madagascar,total,Sanitation,2019,0,0,Faecal sludge treated
MEX,Mexico,total,Sanitation,2019,3.0382,3876000.605,Faecal sludge treated
MKD,North Macedonia,total,Sanitation,2019,0.48525,10110.05776,Faecal sludge treated
MLI,Mali,total,Sanitation,2019,0,0,Faecal sludge treated
MLT,Malta,total,Sanitation,2019,0,0,Faecal sludge treated
MMR,Myanmar,total,Sanitation,2019,0,0,Faecal sludge treated
MNE,Montenegro,total,Sanitation,2019,1.91809,12045.37228,Faecal sludge treated
MNG,Mongolia,total,Sanitation,2019,0,0,Faecal sludge treated
MWI,Malawi,total,Sanitation,2019,0,0,Faecal sludge treated
NER,Niger,total,Sanitation,2019,0,0,Faecal sludge treated
NGA,Nigeria,total,Sanitation,2019,0,0,Faecal sludge treated
NIC,Nicaragua,total,Sanitation,2019,19.36992,1267858.477,Sewage treated
NLD,Netherlands,total,Sanitation,2019,0.09872,16878.05308,Faecal sludge treated
NOR,Norway,total,Sanitation,2019,0.94084,50606.37348,Faecal sludge treated
NPL,Nepal,total,Sanitation,2019,0,0,Faecal sludge treated
NZL,New Zealand,total,Sanitation,2019,0,0,Faecal sludge treated
OMN,Oman,total,Sanitation,2019,21.09399,1049424.087,Sewage treated
PER,Peru,total,Sanitation,2019,3.63246,1180931.023,Faecal sludge treated
PHL,Philippines,total,Sanitation,2019,0,0,Faecal sludge treated
PNG,Papua New Guinea,total,Sanitation,2019,3.17778,278886.0862,Sewage treated
POL,Poland,total,Sanitation,2019,17.61063,6672273.399,Faecal sludge treated
PRI,Puerto Rico,total,Sanitation,2019,0,0,Faecal sludge treated
PRK,Democratic People's Republic of Korea,total,Sanitation,2019,0.86385,221716.0289,Disposed insitu
